Site,Bac_q0,Bac_q1,Bac_q2,Bac_obs_mpd,Ampd_null_mean.x,Ampd_null_sd.x,Bac_Ampti,Bac_Ampti_p,HNF_q0,HNF_q1,HNF_q2,HNF_obs_mpd,Ampd_null_mean.y,Ampd_null_sd.y,HNF_Ampti,HNF_Ampti_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2014St01,132.167,35.633,17.881,0.315793386,0.322985436,0.02042787,-0.352070467,0.362392708,16.994,6.909,4.425,0.03313812,0.185063849,0.030769617,-4.937524183,3.96E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2014St03,177,73.289,37.834,0.293365232,0.333641662,0.014876679,-2.707353628,0.003391099,11.243,1.396,1.118,0.013975259,0.025399185,0.00566687,-2.015914466,0.02190446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2014St05,283.374,83.78,36.094,0.308996449,0.334154051,0.015483641,-1.62478592,0.052104091,32.885,12.527,7.189,0.091903701,0.205332431,0.026181219,-4.332446483,7.37E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2014St07,256.694,57.836,21.392,0.300118461,0.328026207,0.019559373,-1.426822111,0.076815588,19.988,5.932,4.27,0.047662431,0.182777723,0.035667477,-3.788193162,7.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2014St09,219.25,70.52,28.904,0.31150016,0.331283723,0.015939289,-1.241182321,0.107269202,16.994,3.401,1.934,0.048047885,0.115236788,0.024634414,-2.727440697,0.003191386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2014St11,209.25,50.93,19.18,0.247593207,0.325524177,0.01995131,-3.906057866,4.69E-05,20.659,4.849,2.456,0.037041757,0.141547994,0.025789845,-4.052224313,2.54E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2023St05,91,12.712,4.203,0.230715929,0.261205335,0.026938198,-1.131827968,0.128853384,17.994,5.399,3.019,0.058095581,0.159863852,0.029680846,-3.428752369,0.000303181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2023St07,149.083,22.425,6.086,0.227444123,0.285906309,0.024968278,-2.34145844,0.009604282,10,5.262,3.384,0.040488048,0.168100172,0.030306494,-4.210718845,1.27E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2023St09,204.8,55.957,22.941,0.348486389,0.328383674,0.018689505,1.07561519,0.141049696,10,4.268,2.468,0.018099238,0.141119535,0.02678742,-4.592465371,2.19E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2023St11,214,60.776,25.649,0.305968739,0.330410621,0.01813787,-1.347560712,0.088899857,10,3.958,2.509,0.030983597,0.144056913,0.031146293,-3.630394058,0.000141494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
