SampleID,Cruise,Station,Year,Month,Season,HNF_Biom,Bac_Biom,Temp,Sal,PAR,NO2,NO3,DIN,PO3,Chla
Or2Cr2014St01,Cr2014,St01,2014,4,Spring,3.084476898,12.29366593,16.8606,30.9986,324.81,1.206683922,15.17111239,16.37779632,0.460243222,1.768397812
Or2Cr2014St03,Cr2014,St03,2014,4,Spring,1.325066096,10.66316071,20.0336,33.8276,0.23274,0.129886117,0.491726976,0.621613092,0.090047587,1.18518063
Or2Cr2014St05,Cr2014,St05,2014,4,Spring,2.417222712,17.58003229,23.5927,34.3962,9.2146,0.058658246,0.04507422,0.103732466,0.0800423,0.593631774
Or2Cr2014St07,Cr2014,St07,2014,4,Spring,3.606949515,9.262871912,23.1146,34.3524,40.635,0.377088726,0.181311693,0.558400419,0.130068737,0.431164131
Or2Cr2014St09,Cr2014,St09,2014,4,Spring,0.324184817,9.636719826,19.566,34.5515,61.532,0.146645615,3.982107817,4.128753433,0.280148048,2.726540325
Or2Cr2014St11,Cr2014,St11,2014,4,Spring,0.843510009,11.46903071,23.6296,34.3761,1001.1,0.142455741,0.344175219,0.48663096,0.130068737,0.985148629
Or2Cr2023St01,Cr2023,St01,2014,5,Spring,4.14737173,21.44337264,20.657,28.537,63.574,1.889633502,15.77008292,17.65971642,0.240126899,4.560209433
Or2Cr2023St03,Cr2023,St03,2014,5,Spring,6.957482613,32.4191554,22.781,31.874,0.357,0.23882286,1.870006504,2.108829363,0.050026437,1.898456288
Or2Cr2023St05,Cr2023,St05,2014,5,Spring,2.888835623,35.79869867,24.497,34.024,0.28826,0.025139248,0.078157297,0.103296545,0.060031725,0.352290857
Or2Cr2023St07,Cr2023,St07,2014,5,Spring,2.220757881,30.73042291,26.607,33.513,63.289,0.025139248,0,0.025139248,0.04002115,0.546050829
Or2Cr2023St09,Cr2023,St09,2014,5,Spring,2.162,19.6995126,25.008,34.076,738.32,0.113126618,0.288643543,0.401770161,0.030015862,0.610637486
Or2Cr2023St11,Cr2023,St11,2014,5,Spring,1.389469316,23.52270066,25.807,34.245,114.14,0.020949374,0,0.020949374,0.090047587,0.905890776
Or2Cr2039St01,Cr2039,St01,2014,7,Summer,4.14737173,15.33515981,27.8361,32.146,8.8122,0.678759706,4.446070878,5.124830584,0.270142761,1.889277389
Or2Cr2039St03,Cr2039,St03,2014,7,Summer,6.957482613,11.78439599,28.4213,33.6246,42.555,0,0,0,0,0.096879241
Or2Cr2039St05,Cr2039,St05,2014,7,Summer,2.888835623,15.10829341,29.7168,33.2915,1308.3,0.016759499,0.036009795,0.052769294,0,0.224881556
Or2Cr2039St07,Cr2039,St07,2014,7,Summer,2.220757881,21.8491558,29.4122,33.53,1082.7,0,0,0,0.010005287,0.237714889
Or2Cr2039St09,Cr2039,St09,2014,7,Summer,2.162,23.08567502,28.4031,33.9254,1209.7,0.054468371,0.055061036,0.109529408,0.030015862,0.711556111
Or2Cr2039St11,Cr2039,St11,2014,7,Summer,1.389469316,15.02347071,28.632,33.8923,20.06,0,0.247023656,0.247023656,0.010005287,0.241437681
Or2Cr2046St01,Cr2046,St01,2014,8,Summer,1.596050014,41.44557352,28.3692,31.1625,19.159,0.61172171,3.123099508,3.734821218,0.200105749,6.283483055
Or2Cr2046St03,Cr2046,St03,2014,8,Summer,3.311450513,39.75885104,27.5262,33.355,185.43,0.004189875,0.049827603,0.054017478,0.0800423,0.543336476
Or2Cr2046St05,Cr2046,St05,2014,8,Summer,2.597511574,27.19518299,28.308,33.4728,1009,0,0,0,0.060031725,0.371464734
Or2Cr2046St07,Cr2046,St07,2014,8,Summer,2.67284648,30.74970389,29.0842,33.0801,809.35,0.016759499,0,0.016759499,0.04002115,0.38070515
Or2Cr2046St09,Cr2046,St09,2014,8,Summer,1.679814815,24.72618987,29.2097,33.5027,0.0014539,0,0.108303758,0.108303758,0.0800423,0.242098906
Or2Cr2046St11,Cr2046,St11,2014,8,Summer,2.596590909,23.70814555,27.6725,34.0667,390.92,0.020949374,0,0.020949374,0.060031725,0.868599128
Or2Cr2053St01,Cr2053,St01,2014,9,Autumn,2.479884459,28.77569315,30.0023,29.4714,0.16947,0.61172171,3.828683026,4.440404737,0.360190348,1.456289602
Or2Cr2053St03,Cr2053,St03,2014,9,Autumn,3.344575797,47.06355974,29.6237,31.2622,0.080336,0.083797495,0.227168433,0.310965928,0.070037012,1.003509206
Or2Cr2053St05,Cr2053,St05,2014,9,Autumn,3.800483161,18.21295743,29.0131,33.8422,443.49,0.020949374,0,0.020949374,0.060031725,0.267972071
Or2Cr2053St07,Cr2053,St07,2014,9,Autumn,2.496571902,21.24764254,28.8801,33.5676,1047.6,0.020949374,0.136807983,0.157757356,0.070037012,0.377008983
Or2Cr2053St09,Cr2053,St09,2014,9,Autumn,3.348427429,21.54962541,29.5765,33.6789,796.24,0.134075991,0.99872822,1.132804212,0.360190348,0.478653562
Or2Cr2053St11,Cr2053,St11,2014,9,Autumn,2.730214245,24.85820119,29.5765,33.6789,796.24,0.134075991,0.99872822,1.132804212,0.360190348,0.478653562
Or2Cr2099St01,Cr2099,St01,2015,6,Summer,1.780543515,104.609965,23.5989,30.5917,5.0405,0.938769231,4.607771497,5.546540728,0.103571429,0.815803745
Or2Cr2099St03,Cr2099,St03,2015,6,Summer,3.232405892,29.08353402,25.4583,34.1464,408.76,0.112153846,0,0.112153846,0.0725,0.297428449
Or2Cr2099St05,Cr2099,St05,2015,6,Summer,1.416341433,91.98720075,26.2227,33.995,117.05,0.103846154,0,0.103846154,0.051785714,0.438494513
Or2Cr2099St07,Cr2099,St07,2015,6,Summer,1.428931134,30.377988,26.2227,33.995,117.05,0.103846154,0,0.103846154,0.051785714,0.438494513
Or2Cr2099St09,Cr2099,St09,2015,6,Summer,2.576954551,47.99162375,26.2574,34.086,1.00E-12,0.016615385,0.050376093,0.066991478,0,0.362012912
Or2Cr2099St11,Cr2099,St11,2015,6,Summer,1.00717613,68.2920521,25.376,34.2973,346.55,0.029076923,0.102360125,0.131437048,0,0.958468932
Or2Cr2109St01,Cr2109,St01,2015,7,Summer,0.494145789,34.59360054,25.4887,31.9087,10.86,1.231730769,6.063157237,7.294888006,0.580357143,3.318674582
Or2Cr2109St03,Cr2109,St03,2015,7,Summer,0.478408662,56.17126923,26.5942,33.977,1851.7,0.908653846,0.296006558,1.204660405,0.357142857,1.145523275
Or2Cr2109St05,Cr2109,St05,2015,7,Summer,0.607453103,70.95771809,27.0729,33.9503,914.29,0.040384615,0.160392119,0.200776734,0.089285714,0.662479019
Or2Cr2109St07,Cr2109,St07,2015,7,Summer,0.327332242,61.24784612,26.6578,32.9772,0.05797,0.181730769,0.621376167,0.803106936,0.145089286,3.372223118
Or2Cr2109St09,Cr2109,St09,2015,7,Summer,0.446934408,67.28053388,26.0203,34.3675,488.4,0.060576923,0.140199811,0.200776734,0.100446429,1.944740506
Or2Cr2109St11,Cr2109,St11,2015,7,Summer,0.89072139,55.48500986,25.6581,34.3524,95.855,0.064615385,0.069235771,0.133851156,0.145089286,1.403944663
Or2Cr2164St01,Cr2164,St01,2016,5,Spring,1.384867179,52.65860151,20.991,28.8777,181.95,1.981810746,8.094742884,10.07655363,0.210111036,0.751563015
Or2Cr2164St03,Cr2164,St03,2016,5,Spring,1.809769608,102.5801517,22.5199,32.7648,474.65,0.146645615,0.05596604,0.202611655,0.04002115,2.086649158
Or2Cr2164St05,Cr2164,St05,2016,5,Spring,0.462671535,40.96122155,26.4716,34.6173,148.46,0.020949374,0.033779659,0.054729033,0.060031725,0.723864133
Or2Cr2164St07,Cr2164,St07,2016,5,Spring,0.878131688,27.75657284,26.3167,34.5822,202.11,0.083797495,0,0.083797495,0.0800423,0.363778659
Or2Cr2164St09,Cr2164,St09,2016,5,Spring,0.978849301,46.89470504,25.1797,34.3426,102.49,0,0,0,0,0.613068602
Or2Cr2164St11,Cr2164,St11,2016,5,Spring,0.566536573,28.77504003,23.2437,34.5191,465.44,0.07960762,0.521597832,0.601205452,0.130068737,1.375392793
Or2Cr2183St01,Cr2183,St01,2016,8,Summer,18.59056713,47.17296725,28.6751,32.7074,1.00E-12,0,0,0,0.041428571,0.163008889
Or2Cr2183St03,Cr2183,St03,2016,8,Summer,23.84970238,40.17256949,28.8622,33.4839,1.00E-12,0.434358974,0,0.434358974,0.051785714,0.150541489
Or2Cr2183St05,Cr2183,St05,2016,8,Summer,17.76742424,46.61834196,28.8242,33.6526,0.20423,0.038076923,0,0.038076923,0.145,0.1671734
Or2Cr2183St07,Cr2183,St07,2016,8,Summer,14.762739,52.73709808,29.2294,33.9281,978.11,0,0,0,0,0.182829108
Or2Cr2183St09,Cr2183,St09,2016,8,Summer,NAN,37.41431335,29.5277,33.819,789.93,0.004230769,1.276012275,1.280243045,0,0.169257289
Or2Cr2183St11,Cr2183,St11,2016,8,Summer,9.163722826,18.05967538,29.5824,34.0931,35.396,0,2.611786093,2.611786093,0,0.114585517
Or2Cr2192St01,Cr2192,St01,2016,9,Autumn,0.366059259,36.62750699,25.4158,31.9492,105.77,1.607692308,0,1.607692308,0.145,2.363835772
Or2Cr2192St03,Cr2192,St03,2016,9,Autumn,0.361619089,27.41738219,26.5939,33.9768,1795.3,0.22,0.028520362,0.248520362,0.0725,1.3577968
Or2Cr2192St05,Cr2192,St05,2016,9,Autumn,0.3839859,76.24509827,27.0512,33.9488,881.47,0.148076923,0,0.148076923,0.134642857,0.673815144
Or2Cr2192St07,Cr2192,St07,2016,9,Autumn,0.324184817,38.48242614,26.658,32.9768,0.050583,0,0,0,0.134642857,0.490902328
Or2Cr2192St09,Cr2192,St09,2016,9,Autumn,0.205266874,39.74712096,26.0356,34.3713,492.54,0,0,0,0,0.475367531
Or2Cr2192St11,Cr2192,St11,2016,9,Autumn,0.179403248,21.08572606,25.6581,34.3524,95.855,0.160769231,0,0.160769231,0,0.164989371
Or2Cr2241St01,Cr2241,St01,2017,5,Spring,1.683872592,32.04713732,23.5773,33.4518,8.1726,0.031562101,0.522830005,0.554392105,0.036763809,0.876258333
Or2Cr2241St03,Cr2241,St03,2017,5,Spring,0.897016241,38.45358803,23.7723,34.1528,0.0053603,0.186216394,1.527465208,1.713681602,0.078879532,0.530691667
