SampleID,SampleBacID,Ship,Cruise,Station,Year,Month,DateID,Season,predator_biomass,PNFB,HNFB,prey_biomass,ABB,HBB,Temp,Sal,PAR,NO2,NO3,DIN,PO3,Chla
S18F12Or2Cr2014St01SN,Or2Cr2014St01,Or2,Cr2014,St01,2014,4,2014/4,Spring,3.084476898,4.502586246,3.084476898,12.29366593,4.117879248,11.62896988,16.8606,30.9986,324.81,1.206683922,15.17111239,16.37779632,0.460243222,1.768397812
S18F12Or2Cr2014St03SN,Or2Cr2014St03,Or2,Cr2014,St03,2014,4,2014/4,Spring,1.325066096,0.903404845,1.325066096,10.66316071,9.479223017,7.233329096,20.0336,33.8276,0.23274,0.129886117,0.491726976,0.621613092,0.090047587,1.18518063
S18F12Or2Cr2014St05SN,Or2Cr2014St05,Or2,Cr2014,St05,2014,4,2014/4,Spring,2.417222712,1.48504906,2.417222712,17.58003229,19.51293755,7.439791932,23.5927,34.3962,9.2146,0.058658246,0.04507422,0.103732466,0.0800423,0.593631774
S18F12Or2Cr2014St07SN,Or2Cr2014St07,Or2,Cr2014,St07,2014,4,2014/4,Spring,3.606949515,8.701974976,3.606949515,9.262871912,6.994736336,5.626984526,23.1146,34.3524,40.635,0.377088726,0.181311693,0.558400419,0.130068737,0.431164131
S18F12Or2Cr2014St09SN,Or2Cr2014St09,Or2,Cr2014,St09,2014,4,2014/4,Spring,0.324184817,2.05019273,0.324184817,9.636719826,3.771140011,7.103019342,19.566,34.5515,61.532,0.146645615,3.982107817,4.128753433,0.280148048,2.726540325
S18F12Or2Cr2014St11S,Or2Cr2014St11,Or2,Cr2014,St11,2014,4,2014/4,Spring,0.843510009,1.724306964,0.843510009,11.46903071,7.639716524,7.541885604,23.6296,34.3761,1001.1,0.142455741,0.344175219,0.48663096,0.130068737,0.985148629
S18F12Or2Cr2023St01SC40A,Or2Cr2023St01,Or2,Cr2023,St01,2014,5,2014/5,Spring,4.14737173,4.888544601,4.14737173,21.44337264,5.057565792,16.38580685,20.657,28.537,63.574,1.889633502,15.77008292,17.65971642,0.240126899,4.560209433
S18F12Or2Cr2023St03S,Or2Cr2023St03,Or2,Cr2023,St03,2014,5,2014/5,Spring,6.957482613,2.689071038,6.957482613,32.4191554,21.26985891,11.14929649,22.781,31.874,0.357,0.23882286,1.870006504,2.108829363,0.050026437,1.898456288
S18F12Or2Cr2023St05SC40B,Or2Cr2023St05,Or2,Cr2023,St05,2014,5,2014/5,Spring,2.888835623,3.022492765,2.888835623,35.79869867,26.43930298,9.359395689,24.497,34.024,0.28826,0.025139248,0.078157297,0.103296545,0.060031725,0.352290857
S18F12Or2Cr2023St07SC40B,Or2Cr2023St07,Or2,Cr2023,St07,2014,5,2014/5,Spring,2.220757881,2.372875587,2.220757881,30.73042291,6.488257668,24.24216524,26.607,33.513,63.289,0.025139248,0,0.025139248,0.04002115,0.546050829
S18F12Or2Cr2023St09SC40B,Or2Cr2023St09,Or2,Cr2023,St09,2014,5,2014/5,Spring,2.162,2.9876,2.162,19.6995126,12.39018212,7.309330478,25.008,34.076,738.32,0.113126618,0.288643543,0.401770161,0.030015862,0.610637486
S18F12Or2Cr2023St11S,Or2Cr2023St11,Or2,Cr2023,St11,2014,5,2014/5,Spring,1.389469316,3.888785143,1.389469316,23.52270066,12.03450779,11.48819287,25.807,34.245,114.14,0.020949374,0,0.020949374,0.090047587,0.905890776
S18F12Or2Cr2039St01SC40B,Or2Cr2039St01,Or2,Cr2039,St01,2014,7,2014/7,Summer,4.14737173,4.888544601,4.14737173,15.33515981,22.77659768,11.20739735,27.8361,32.146,8.8122,0.678759706,4.446070878,5.124830584,0.270142761,1.889277389
S18F12Or2Cr2039St03S,Or2Cr2039St03,Or2,Cr2039,St03,2014,7,2014/7,Summer,6.957482613,2.689071038,6.957482613,11.78439599,3.461718817,10.7172567,28.4213,33.6246,42.555,0,0,0,0,0.096879241
S18F12Or2Cr2039St05S,Or2Cr2039St05,Or2,Cr2039,St05,2014,7,2014/7,Summer,2.888835623,3.022492765,2.888835623,15.10829341,8.736457419,11.3612205,29.7168,33.2915,1308.3,0.016759499,0.036009795,0.052769294,0,0.224881556
S18F12Or2Cr2039St07S,Or2Cr2039St07,Or2,Cr2039,St07,2014,7,2014/7,Summer,2.220757881,2.372875587,2.220757881,21.8491558,17.86675673,13.88428433,29.4122,33.53,1082.7,0,0,0,0.010005287,0.237714889
S18F12Or2Cr2039St09SC40B,Or2Cr2039St09,Or2,Cr2039,St09,2014,7,2014/7,Summer,2.162,2.9876,2.162,23.08567502,26.74609978,9.940404256,28.4031,33.9254,1209.7,0.054468371,0.055061036,0.109529408,0.030015862,0.711556111
S18F12Or2Cr2039St11SC40B,Or2Cr2039St11,Or2,Cr2039,St11,2014,7,2014/7,Summer,1.389469316,3.888785143,1.389469316,15.02347071,9.99668472,10.36455568,28.632,33.8923,20.06,0,0.247023656,0.247023656,0.010005287,0.241437681
S18F12Or2Cr2046St01SC35B,Or2Cr2046St01,Or2,Cr2046,St01,2014,8,2014/8,Summer,1.596050014,6.829811381,1.596050014,41.44557352,19.97373954,27.98064438,28.3692,31.1625,19.159,0.61172171,3.123099508,3.734821218,0.200105749,6.283483055
S18F12Or2Cr2046St03SC35B,Or2Cr2046St03,Or2,Cr2046,St03,2014,8,2014/8,Summer,3.311450513,3.700993493,3.311450513,39.75885104,36.85164396,23.43512462,27.5262,33.355,185.43,0.004189875,0.049827603,0.054017478,0.0800423,0.543336476
S18F12Or2Cr2046St05SC40B,Or2Cr2046St05,Or2,Cr2046,St05,2014,8,2014/8,Summer,2.597511574,2.912855373,2.597511574,27.19518299,24.36956237,17.27006245,28.308,33.4728,1009,0,0,0,0.060031725,0.371464734
S18F12Or2Cr2046St07SC35B,Or2Cr2046St07,Or2,Cr2046,St07,2014,8,2014/8,Summer,2.67284648,2.20696579,2.67284648,30.74970389,38.31234197,13.2959942,29.0842,33.0801,809.35,0.016759499,0,0.016759499,0.04002115,0.38070515
S18F12Or2Cr2046St09SC40B,Or2Cr2046St09,Or2,Cr2046,St09,2014,8,2014/8,Summer,1.679814815,1.22487037,1.679814815,24.72618987,32.08007698,10.06722492,29.2097,33.5027,0.0014539,0,0.108303758,0.108303758,0.0800423,0.242098906
